""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"
"A0A060HCL0"	0.0457179186457554	0.0187669951306987	-0.037408261363339	-0.000664773071093398	-0.000315345866178379	0.00393187842638979	-0.0226721208377274	-0.00484751492618169	0.0208455477467897	-0.000713317374438233	-0.00656801357647193	-0.0115164986777243	-0.00206114666804702	-0.00589152802313187	0.00344627824145249	-0.0237698885376263	-0.00522148906744513	0.0170859105308944	-0.00120538129515364	-0.0108966959632695	-0.0169933461943784	0.00202591843561339	0.0149852697677229	0.00163920421726419	0.0171554446387313	-0.000269027812710896	0.00351725226014833	-0.0172562611909112	-0.0033392038261674	0.00367360642753488	-0.0149052701923955	-0.00722562262137334	-0.00403905360572826	-0.0058278488274093	-0.0166684160136465	0.00390378034014545	-0.00308240518857428	0.00543587938751468	0.0912378407034001
"A0A060HCP5"	0.0400740415719629	-0.00809416865434873	0.0524704135265602	0.00447519045025509	0.0327550098153541	0.00377628025758306	-0.0221474673045356	-0.00218259995328137	-0.0171434840888976	-0.00914940878011746	0.0187395416285512	-0.00183140706816052	0.00462224558521278	0.00944460383531476	0.0252229157066434	0.00962391548038698	-0.00703371760347209	-0.020943353842169	0.000704238782875015	-0.0018289351774123	-0.0219536790523602	-0.0187776059209429	-0.00549140264251061	-0.00768316643510509	-0.00441632648543644	-0.00157497940942275	0.00736078934851903	-0.00211465053999124	-0.0111848617000061	-0.018492565396135	-0.0111661612711266	-0.0146315257259529	-0.00254020027673087	-0.00654913478489225	-0.0309864455170674	0.0294855622566333	0.00635041013110852	-0.0028628689697199	-0.0136724584777535
"A0A060HCQ3"	-0.0153746280284481	-0.000622682441447358	-0.000814927667623327	0.0502372354422608	0.0330673439565321	-0.0139783934607729	-0.0178964205795961	0.00518875705699252	-0.0480708554592133	-0.0327357931128211	0.00757761137693182	0.0351322704696399	0.0116728994974396	-0.00219043602439775	0.0424195150303151	-0.0568063733710272	0.0205336912511718	0.0361753401995542	-0.0696083371783366	-0.0149068979771784	-0.0556806008884464	-0.0328701194987156	0.0790248279598294	-0.00487425447454426	-0.0340461831145719	0.0717014844875199	0.00237924507291502	0.00036643468191765	-0.0719215083068265	-0.00220984120450709	-0.0536343714061714	-0.0117594565080582	-0.0089115949889965	-0.0346185853171855	0.0423220430893929	-0.0413655439581528	0.000600578697462917	0.0213539027573687	-0.0246010466091824
"A0A060HCR5"	0.0327043861635921	-0.0269347784767431	-0.0205754715789869	-0.00196171784776237	-0.036222428901201	-0.0128126988568713	-0.0455008141540633	-0.0195998792437961	0.0345447287094802	0.00726217394043724	0.0176669143805035	0.0397342130659284	0.0439239997224746	0.0208516466851007	0.0318730673433301	0.011134893996274	0.0401509353180261	-0.00890310628547178	0.00535180324395278	0.00835331055573855	-0.0308185623533901	-0.0352272096889521	-0.0288142271532198	0.014501823805926	0.0087573412093377	-0.0115705264718333	0.0122335070237142	-0.0616338063253766	-0.00700821524922272	-0.00571960731356451	-0.00209963092816787	0.00511175021974962	0.0425242506895828	0.0156716046027979	-0.0211073249945076	-0.0298815943430008	-0.00511859307373623	-0.0203123745104833	0.051823077550702
"A0A060HCS0"	-0.0424554214899256	-0.0212205556641802	-0.00155528694181441	-0.029181983111289	0.0176061468479403	0.0187734641744123	-0.0319379419375291	0.0109635879289723	-0.0086338202689259	-0.0224344058446543	-0.0253849948093975	-0.00161762595240903	-0.0184064672852072	-0.0112174987241381	-0.0214333423707438	0.0264983902785013	-0.0124258034446741	0.000797316993991575	0.0133621004536743	-0.01848016475185	-0.00796497624737841	-0.00988031595563795	0.00567473646289702	0.0174116630171266	-0.0250313702928248	0.0420332264685401	-0.00561068602469331	-0.0279637392298551	0.0374209609152511	0.0163627777892192	-0.00311817070885078	0.0218379877441814	-0.0223520217594505	0.0084520461782684	-0.00644922522645061	0.0218899904096859	-0.00133036537154253	-0.011458872445421	0.0853954024613717
"A0A060HCS4"	-0.00197313960895287	0.0318947576995994	-0.0622730484003568	0.0227505648432923	-0.0366933165167943	-0.00766845790801222	-0.0322330494402893	-0.00400309545233964	0.0646787517627005	-0.058034457492795	0.0157289105324117	0.00400546848961997	0.0226321924628801	-0.0105465427958184	-0.0158578404911226	-0.0103386745985757	-0.00784312272430715	-0.000298844378234564	0.0259876420401147	-0.00219157582257857	-0.00341752854849802	-0.0340667961486708	-0.0484016428514681	0.0198953245553944	-0.0150684847223135	-0.0187223376122623	-0.00791506085485386	-0.0150069245263483	0.0112070452872355	0.0172422650143258	0.024254944644964	-0.00478211705522494	0.0103716313180482	0.0170389570254538	-0.0265058286949255	-0.0374661404357802	-0.00828262499084451	-0.00996308321429458	0.000285216731002175
"A0A060HCS9"	0.0252627399657215	0.00235000641265939	0.0357862188615945	0.00643459376960369	0.0140717980719487	0.00723803118332604	-0.0354444644623758	0.0294436749896696	0.0277291790491305	-0.093712628711816	-0.0429275617464394	0.0509091167070565	-0.022643696597482	-0.00498954561496917	-0.03638314977716	-0.0376009453448869	0.00481141920972542	-0.0497558943107548	-0.0197460923178189	0.00634941222838235	0.0573326427893437	0.0215540043910477	0.00669595953455828	-0.0072032771955353	0.046660580447218	-0.0279356187199532	0.00279262344568888	0.00760627898881658	0.0217876528884065	0.0144809424740709	-0.0111968250071029	0.00871561697386518	0.0221394264398528	-0.015896825353463	-0.00653177643743842	0.0115020207698719	0.011127189411223	-0.0121621779581164	0.110851783965844
"A0A060HCT3"	0.00696455588764618	-0.0146800036924171	0.00272738741654925	-0.0477654775279521	0.0224082744345768	0.0252124290810191	-0.0137599634149646	-0.0178510752445789	-0.0703462986738728	0.00450705902981117	-0.0372637873566196	-0.014750877107711	-0.0182757027410451	-0.0515354149044906	-0.0747168436106295	-0.0524999912262822	0.0313300719974236	0.0631176920465085	-0.0568762832860981	-0.00602561939217382	0.0448462007833938	0.0489175608908871	0.00497300264745725	-0.0173514095261807	0.0280554356360413	0.0418148147287157	0.0322686967981274	0.0215504681819135	-0.0357458718104962	0.0249536062796496	0.0534254825832705	0.0188986955600805	0.0206704796921653	0.0112581237320069	0.0407312496526244	0.0284029725992316	-0.0267060729481947	-0.0410911692295473	-0.056504889385241
"A0A060HCU3"	0.0449440981416444	-0.0031183026256901	0.0350918439093533	0.0032068677571425	0.020182661205036	0.00336909251508145	-0.0095911595090141	-0.0171603699037364	0.00394931472235807	-0.0242047397134457	-0.0166610741938603	-0.0156811765039895	0.0135916185179103	-0.0102857853463761	-0.0167774661340751	0.00840221033384634	-0.00952096779964356	0.00100580730989676	-0.0295266292500976	-0.0253631410560369	-0.0157845453646379	-0.0279714803645604	-0.0184900134926907	-0.015910225512994	-0.00627116136213383	0.0166600737874657	-0.0187177205310735	-0.0306908801163456	-0.00876639359155085	0.01663774205564	0.00538282560294291	-0.0113520707958111	-0.00632285484032139	-0.00822968949554291	0.0417793224193741	-0.0200716589098141	0.0011103201780878	0.0150824967187733	-0.0251703187225112
"A0A060HCV6"	-0.038108042467972	-0.00547435102344915	-0.0399495074064903	-0.0168030167886964	-0.00825154276080898	0.00549627200048774	-0.0338111738741611	0.0226303885881845	0.0165429801557365	0.00905507014825521	0.0174715308793017	-0.00428220163161454	0.0182624170523774	-0.0577679497124905	-0.0159429394609029	-0.044994051606442	-0.00616438057995432	-0.0139879093725687	-0.0244116276623499	-0.00729948755279966	-0.0397779363541875	0.00509130117883781	0.0256108408273258	-0.0141532503038116	0.0327993745119939	-0.0108056292957699	-0.0226012147691789	0.0332862081711033	-0.0201982607857624	0.0018632637447856	0.0259661504161006	0.00238237194893477	-0.0196571135094695	0.0365258218507148	0.00106191831809265	0.0268706245750454	0.0314044316137715	-0.0216839988151654	0.018389066379647
