""	"Protein.Code"	"A"	"D"	"G"	"C"	"F"	"B"	"E"	"p_adj"	"Method"	"Locus_Tag"	"sig_check"	"Cluster"	"Max"	"Min"	"Gene_Name"	"Protein_Product"
"A0A060HF06"	"A0A060HF06"	1.60958010941428	0.549460492246259	0.493670120300761	0.24693892229686	-0.966549881419388	-0.966549881419388	-0.966549881419388	0.0490803201117348	"ANOVA"	"NVIE_000300"	"yes"	3	"A"	"F"	"xpf"	"putative DNA repair nuclease XPF"
"A0A060HKF9"	"A0A060HKF9"	1.03414510447454	1.52775457914477	-0.238609891777527	0.363961775071614	-0.895750522304465	-0.895750522304465	-0.895750522304465	1.45040330534236e-06	"ANOVA"	"NVIE_027230"	"yes"	3	"D"	"F"	"NVIE_027230"	"putative transcriptional regulator"
"A0A060HMU9"	"A0A060HMU9"	0.93580131338642	1.60280223547282	-0.192127207038836	0.212599960170547	-1.19936734227519	-0.445010872539511	-0.914698087176246	0.00611226736512667	"ANOVA"	"NVIE_003310"	"yes"	3	"D"	"F"	"albA"	"DNA/RNA-binding protein Alba"
"A0A060HLT0"	"A0A060HLT0"	1.25333870165976	1.26088611179242	-0.386171524946038	0.526690263288861	-0.945741577558426	-0.684197983044035	-1.02480399119254	0.0713527323355254	"ANOVA"	"NVIE_2199"	"no"	3	"D"	"E"	"NVIE_2199"	"protein of unknown function DUF217"
"A0A060HD49"	"A0A060HD49"	1.34948883177683	1.34680808320359	-0.304902796345726	0.148929449185245	-0.920411912725799	-0.597085902909387	-1.02282575218476	0.00073473555520213	"ANOVA"	"NVIE_0473"	"yes"	3	"A"	"E"	"endA2"	"tRNA-splicing endonuclease"
"A0A060HN46"	"A0A060HN46"	1.29818821017519	1.34035435124236	-0.723813904854539	0.394814979451199	-0.712402260948507	-0.632100149854169	-0.965041225211533	0.000201814785049705	"ANOVA"	"NVIE_007670"	"yes"	3	"D"	"E"	"albA2"	"DNA/RNA-binding protein Alba"
"A0A060HQZ0"	"A0A060HQZ0"	1.31682633963013	0.976435419344272	-0.473958890243813	0.4967351700428	-0.00310424158619939	-0.868093535653713	-1.44484026153347	1.91993175037041e-07	"ANOVA"	"NVIE_016630"	"yes"	3	"A"	"E"	"rpl12p"	"50S ribosomal protein L12p"
"A0A060HNF5"	"A0A060HNF5"	1.6612656759265	0.874318683808477	-0.704425906380609	-0.00432178049199307	-0.068287373615401	-0.416339625333456	-1.34220967391352	0.123500660971911	"ANOVA"	"NVIE_008740"	"no"	3	"A"	"E"	"NVIE_008740"	"putative small nuclear ribonucleoprotein"
"A0A060HN55"	"A0A060HN55"	1.40499343102284	0.964932218227966	-0.75853559604487	0.218066590824825	0.214957656254489	-0.612360669787243	-1.432053630498	0.0509184886639743	"ANOVA"	"NVIE_007770"	"no"	3	"A"	"E"	"NVIE_007770"	"putative iron (metal) dependent repressor, DtxR family"
"A0A060HMS3"	"A0A060HMS3"	1.58509658053695	0.438098168685832	0.373531656577504	0.059812180318077	-0.245135177397588	-0.536846865084326	-1.67455654363645	6.37980618748911e-08	"ANOVA"	"NVIE_025230"	"yes"	3	"A"	"E"	"dys1"	"deoxyhypusine synthase"
"A0A060HLN6"	"A0A060HLN6"	1.49113792432791	0.479664553237425	0.100074279648728	0.345891594305106	-0.368220484896739	-0.255211762833043	-1.79333610378939	3.70773217136023e-09	"ANOVA"	"NVIE_003020"	"yes"	3	"A"	"E"	"phaE"	"putative poly(3-hydroxyalkanoate) synthase component"
"A0A060HH57"	"A0A060HH57"	1.79743288888427	0.447677810442568	-0.353570363738871	0.30988593903829	-0.218686845564908	-0.58251366867467	-1.40022576038668	0.00999235084670593	"ANOVA"	"NVIE_016470"	"yes"	3	"A"	"E"	"NVIE_016470"	"putative transcriptional regulator, AsnC family"
"A0A060HN81"	"A0A060HN81"	1.362011542711	1.21967442667844	-0.362153442736369	0.00638704690476178	-0.440911038034325	-0.284806702945056	-1.50020183257845	5.53507874037054e-06	"ANOVA"	"NVIE_026340"	"yes"	3	"A"	"E"	"NVIE_026340"	"putative signal transduction response regulator, receiver domain"
"A0A060HL58"	"A0A060HL58"	1.20664319422148	1.15075660305312	-0.175159302895783	0.315288653663045	-0.49426044878887	-0.354004982662384	-1.64926371659061	0.000130775653411721	"ANOVA"	"NVIE_029750"	"yes"	3	"A"	"E"	"NVIE_029750"	"hypothetical protein"
"A0A060HCS0"	"A0A060HCS0"	1.50255249660395	0.839891660557497	-0.0405874367687882	0.365681700633712	-0.543799212739902	-0.643123946798442	-1.48061526148802	2.54942693918719e-06	"ANOVA"	"NVIE_003380"	"yes"	3	"A"	"E"	"ef1b"	"translation elongation factor EF-1 beta"
"A0A060HT50"	"A0A060HT50"	1.49428230990354	0.811180079219832	-0.154327085632008	0.453140139231263	-0.373603976149166	-0.760070413168751	-1.47060105340471	2.47312930612791e-06	"ANOVA"	"NVIE_024000"	"yes"	3	"A"	"E"	"NVIE_024000"	"putative thioredoxin (modular protein)"
"A0A060HED0"	"A0A060HED0"	1.36107718799171	1.01699030485208	-0.149205005760679	0.498581883443578	-0.825415031964539	-0.531380422254753	-1.37064891630739	1.24170120143048e-06	"ANOVA"	"NVIE_008070"	"yes"	3	"A"	"E"	"NVIE_008070"	"putative aspartate/glutamate/uridylate kinase"
"A0A060HL43"	"A0A060HL43"	0.976067166795249	0.620883560490723	1.05488844259621	0.237403772574072	-1.05746639834506	-0.325672855764927	-1.50610368834627	1.67081927872617e-07	"ANOVA"	"NVIE_016480"	"yes"	3	"G"	"E"	"argD1"	"acetylornithine and succinylornithine aminotransferase"
"A0A060HL48"	"A0A060HL48"	0.980090945871692	0.529352609527248	0.908878182796979	0.234376981206795	-1.22881895729367	0.111012916451786	-1.53489267856083	2.96987117409423e-08	"ANOVA"	"NVIE_016520"	"yes"	3	"A"	"E"	"argG"	"argininosuccinate synthase"
"A0A060HUC8"	"A0A060HUC8"	1.01520836289124	0.263210938289572	0.990100891723775	0.670326207640501	-1.4226434318024	-0.372689415167527	-1.14351355357516	0.013337790319921	"ANOVA"	"NVIE_027540"	"yes"	3	"A"	"F"	"coxA1"	"heme-copper oxidase subunit I"
"A0A060HFV0"	"A0A060HFV0"	1.50149427601615	0.196177210605916	0.410438485609535	0.492405186792485	-0.988105098683341	-0.0921244901428444	-1.5202855701979	3.32909188912605e-10	"ANOVA"	"NVIE_012460"	"yes"	3	"A"	"E"	"sufS"	"cysteine desulfurase/selenocysteine lyase"
"A0A060HGQ4"	"A0A060HGQ4"	1.30985889057344	0.726898387016293	-0.19598988408539	0.929995876736331	-1.12309842686944	-0.481900950590139	-1.1657638927811	3.4045195910424e-10	"ANOVA"	"NVIE_005630"	"yes"	3	"A"	"E"	"NVIE_005630"	"protein of unknown function"
"A0A060HHA2"	"A0A060HHA2"	1.2656525798507	0.641571916367908	-0.269824107101241	0.968530149918864	-1.21027626430412	-0.17967693716177	-1.21597733757035	8.65435092596234e-10	"ANOVA"	"NVIE_007040"	"yes"	3	"A"	"E"	"NVIE_007040"	"Methyltransferase type 12"
"A0A060HU99"	"A0A060HU99"	1.39649209555099	0.194056501217052	-0.24650508461719	1.0566007839821	-1.19050331584599	-0.0196376644409737	-1.19050331584599	2.63552578740553e-05	"ANOVA"	"NVIE_027250"	"yes"	3	"A"	"F"	"NVIE_027250"	"radical SAM domain protein"
"A0A060HP45"	"A0A060HP45"	1.60089187389446	0.617366262073284	-0.332633160176371	0.287226494417176	-1.37271014674882	0.17369497529764	-0.97383629875736	1.89809329425278e-07	"ANOVA"	"NVIE_011070"	"yes"	3	"A"	"F"	"NVIE_011070"	"putative guanosine polyphosphate pyrophosphohydrolase/synthetase"
"A0A060HJE7"	"A0A060HJE7"	1.34532312432363	0.733588710176123	-0.130540524532951	0.355808584612174	-1.21492958565637	0.303615879144713	-1.39286618806732	2.19880359853994e-08	"ANOVA"	"NVIE_024240"	"yes"	3	"A"	"E"	"ths5"	"archaeal thermosome"
"A0A060HUB9"	"A0A060HUB9"	1.1765373379901	0.782873820149578	-0.160704633358541	0.750822397203843	-1.25452303547491	0.0599431865416747	-1.35494907305174	4.19255125738474e-08	"ANOVA"	"NVIE_027440"	"yes"	3	"A"	"E"	"NVIE_027440"	"Activator of Hsp90 ATPase 1 family protein"
"A0A060HLT4"	"A0A060HLT4"	1.15467143626313	0.768408643554946	-0.147719261187545	0.601977595189609	-1.29674702518329	0.304302524846242	-1.38489391348309	8.77048869921883e-06	"ANOVA"	"NVIE_0359"	"yes"	3	"A"	"E"	"endA1"	"putative tRNA-splicing endonuclease"
"A0A060HVX6"	"A0A060HVX6"	1.12708648787129	0.626132068965377	0.0175555807016587	0.666469734976179	-1.5680997105736	0.292236726625855	-1.16138088856676	9.97123484895648e-08	"ANOVA"	"NVIE_029190"	"yes"	3	"A"	"F"	"thsA"	"archaeal thermosome"
"A0A060HQZ9"	"A0A060HQZ9"	1.53435416329129	0.821257776592852	0.287599254629314	-0.721797247982343	-1.00114839323287	0.226105490263994	-1.14637104356223	0.508741364562198	"ANOVA"	"NVIE_013630"	"no"	3	"A"	"E"	"NVIE_013630"	"radical SAM domain-containing protein"
"A0A060HIG5"	"A0A060HIG5"	1.31406202963932	0.888205502096793	0.652414907030155	-0.235797485834601	-1.26092166391631	-0.183436130264084	-1.17452715875127	0.6003239330671	"ANOVA"	"NVIE_010940"	"no"	3	"A"	"F"	"rpl31e"	"50S ribosomal protein L31e"
"A0A060HVN1"	"A0A060HVN1"	2.0190255349306	0.00681271369818696	-1.17334179796314	0.0474679667498392	0.0286738278391193	-0.701488481775794	-0.227149763478818	0.224438476931876	"ANOVA"	"NVIE_028380"	"no"	3	"A"	"G"	"NVIE_028380"	"conserved protein of unknown function"
"A0A060HQ81"	"A0A060HQ81"	2.26778683805536	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	NA	"only in A"	"NVIE_011080"	NA	3	"A"	"D"	"NVIE_011080"	"mannose-6-phosphate isomerase, type II"
"A0A060HK93"	"A0A060HK93"	2.26778683805536	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	-0.377964473009227	NA	"only in A"	"NVIE_014740"	NA	3	"A"	"D"	"ureC1"	"urease subunit alpha"
"A0A060HLJ3"	"A0A060HLJ3"	1.81554153454711	0.924297939340829	-0.315410714043628	-0.19854780915219	-0.584437496496676	-0.716219070097659	-0.925224384097787	0.00420739743940081	"ANOVA"	"NVIE_020970"	"yes"	3	"A"	"E"	"NVIE_020970"	"hypothetical protein"
"A0A060HRB6"	"A0A060HRB6"	2.0051932982852	0.589653556500127	-0.612380541358577	-0.0926909398977829	-0.818696439197241	-0.490605734256987	-0.580473200074747	2.8324111618377e-09	"ANOVA"	"NVIE_014950"	"yes"	3	"A"	"F"	"mntA"	"ABC uptake transporter, substrate-binding protein"
"A0A060HP02"	"A0A060HP02"	1.93841890776652	0.680022252854313	-0.666666386278832	0.0482243844944888	-0.666666386278832	-0.666666386278832	-0.666666386278832	0.00779084570005149	"Kruskal-Wallis"	"NVIE_029400"	"yes"	3	"A"	"B"	"NVIE_029400"	"hypothetical protein"
"A0A060HJB5"	"A0A060HJB5"	1.86144122357073	0.966977692644037	-0.565683783242954	-0.565683783242954	-0.565683783242954	-0.565683783242954	-0.565683783242954	0.0932895632833008	"ANOVA"	"NVIE_011390"	"no"	3	"A"	"B"	"NVIE_011390"	"Adenylate cyclase"
"A0A060HQ93"	"A0A060HQ93"	2.04800557026234	0.618968952067316	-0.533394904465932	-0.533394904465932	-0.533394904465932	-0.533394904465932	-0.533394904465932	0.198221683916783	"ANOVA"	"NVIE_014750"	"no"	3	"A"	"F"	"ureB1"	"urease subunit beta"
"A0A060HML3"	"A0A060HML3"	1.92385891166565	0.314996688000772	-0.234485607703687	-0.45617411993135	-0.889833226056533	-1.01033541335032	0.351972767375469	9.27613975712275e-09	"ANOVA"	"NVIE_006130"	"yes"	3	"A"	"B"	"NVIE_006130"	"hypothetical protein"
