""	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"B1"	"B10"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"C1"	"C2"	"C3"	"C4"	"C5"	"D1"	"D2"	"D3"	"D4"	"D5"	"E1"	"E2"	"E3"	"E4"	"E5"	"F1"	"F2"	"F3"	"F4"	"F5"	"G1"	"G2"	"G3"	"G4"	"G5"
"A0A060HDU3"	8780900	9443400	8086500	8398000	10009000	11049000	8467400	9338300	7685600	0	8733700	0	6091800	6850200	7650100	6256700	11982000	5604200	7218800	11135000	8675900	10222000	6900700	13730000	9053200	11394000	8453300	10366000	9134800	6673100	7031900	5173900	3765200	5732500	0	4413500	8096600	6123300	9176700	10110000	7846200	5219200	8329000	8458700
"A0A060HDV8"	16236000	10469000	0	0	10547000	0	0	8912200	0	0	0	16968000	0	0	11007000	0	0	9860000	12808000	14771000	0	0	8638300	0	12278000	0	0	0	0	13221000	13190000	13826000	16506000	14450000	0	12977000	9528400	0	12039000	11725000	0	0	0	12700000
"A0A060HDW4"	0	14830000	0	10716000	18502000	14028000	0	0	12666000	9689200	0	8283300	8379500	0	10452000	0	0	0	0	0	0	13992000	0	0	0	0	12841000	14838000	0	0	0	0	0	0	9441500	0	0	8768700	0	0	13566000	11347000	0	0
"A0A060HDX2"	656290000	551350000	723980000	592480000	546970000	605720000	630030000	616470000	665660000	729590000	1080800000	1032100000	837750000	8.61e+08	1083400000	1089100000	1131100000	1096300000	1217800000	770270000	769240000	725810000	676180000	781900000	602950000	796680000	583060000	667520000	647090000	622580000	670450000	612460000	587080000	612980000	1129900000	1231100000	1248600000	1127100000	1342200000	678540000	648280000	608890000	735870000	640820000
"A0A060HDX8"	10959000	14938000	13968000	11986000	11775000	14005000	0	0	0	32585000	24167000	19081000	26088000	28821000	31627000	16825000	23793000	12668000	18694000	12573000	12636000	0	8932800	12628000	10019000	14160000	9681600	9196600	8229100	18717000	20492000	26520000	21658000	18385000	13259000	11103000	11147000	11839000	0	0	16647000	14413000	16248000	11055000
"A0A060HDY7"	29896000	32915000	66516000	37927000	38417000	37612000	34122000	32877000	31151000	64971000	52556000	72734000	48526000	74402000	52002000	49233000	44249000	57654000	40630000	36622000	36959000	27972000	28729000	36610000	36635000	33519000	27148000	29706000	29916000	36909000	44015000	38466000	40128000	34756000	35851000	34591000	39421000	33031000	32072000	31426000	29461000	28659000	26578000	25895000
"A0A060HE21"	8628100	10196000	12527000	9132700	9828200	0	9032700	11272000	7412300	0	9775000	6444400	0	0	10767000	9766800	8805100	8778100	7814200	8600700	8325300	7101300	0	8184200	7689500	6527700	0	6974700	7226300	5467800	0	6912900	0	0	10828000	0	4853700	7255200	0	8549900	0	7656200	6199900	6740000
"A0A060HE32"	128180000	105970000	117890000	122360000	116250000	108400000	108080000	91983000	115870000	51619000	94551000	73508000	68603000	76451000	85562000	87470000	112760000	82094000	71327000	111530000	94710000	107310000	106910000	117830000	98767000	115200000	111420000	109800000	94092000	86972000	74786000	89673000	67744000	74921000	107480000	91068000	110060000	86315000	118540000	118060000	99358000	105200000	111850000	99492000
"A0A060HE43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815810	0	0	0	0	0	0	0	0	0	0	0
"A0A060HE54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10533000	0	0	2680400	3086400	0	0
